state_abbrv,state_name,complaints_count,pop_2014,latitude,longitude
AK,Alaska,110,736732,63.588753,-154.493062
AL,Alabama,269,4849377,32.318231,-86.902298
AR,Arkansas,266,2966369,35.20105,-91.831833
AZ,Arizona,1516,6731484,34.048928,-111.093731
CA,California,13709,38802500,36.778261,-119.417932
CO,Colorado,576,5355866,39.550051,-105.782067
CT,Connecticut,1097,3596677,41.603221,-73.087749
DC,District of Columbia,353,658893,38.942142,-77.025955
DE,Delaware,268,935614,38.910832,-75.52767
FL,Florida,6488,19893297,27.664827,-81.515754
GA,Georgia,2921,10097343,32.157435,-82.907123
HI,Hawaii,111,1419561,19.898682,-155.665857
IA,Iowa,154,3107126,41.878003,-93.097702
ID,Idaho,122,1634464,44.068202,-114.742041
IL,Illinois,2270,12880580,40.633125,-89.398528
IN,Indiana,316,6596855,40.551217,-85.602364
KS,Kansas,311,2904021,39.011902,-98.484246
KY,Kentucky,157,4413457,37.839333,-84.270018
LA,Louisiana,246,4649676,31.244823,-92.145024
MA,Massachusetts,2141,6745408,42.407211,-71.382437
MD,Maryland,1959,5976407,39.045755,-76.641271
ME,Maine,152,1330089,45.253783,-69.445469
MI,Michigan,1395,9909877,44.314844,-85.602364
MN,Minnesota,382,5457173,46.729553,-94.6859
MO,Missouri,674,6063589,37.964253,-91.831833
MS,Mississippi,141,2994079,32.354668,-89.398528
MT,Montana,70,1023579,46.879682,-110.362566
NC,North Carolina,1717,9943964,35.759573,-79.0193
ND,North Dakota,22,739482,47.551493,-101.002012
NE,Nebraska,83,1881503,41.492537,-99.901813
NH,New Hampshire,199,1326813,43.193852,-71.572395
NJ,New Jersey,2664,8938175,40.058324,-74.405661
NM,New Mexico,219,2085572,34.97273,-105.032363
NV,Nevada,1221,2839099,38.80261,-116.419389
NY,New York,4442,19746227,43.299428,-74.217933
OH,Ohio,731,11594163,40.417287,-82.907123
OK,Oklahoma,293,3878051,35.007752,-97.092877
OR,Oregon,620,3970239,43.804133,-120.554201
PA,Pennsylvania,1676,12787209,41.203322,-77.194525
RI,Rhode Island,249,1055173,41.580095,-71.477429
SC,South Carolina,822,4832482,33.836081,-81.163725
SD,South Dakota,34,853175,43.969515,-99.901813
TN,Tennessee,758,6549352,35.517491,-86.580447
TX,Texas,4686,26956958,31.968599,-99.901813
UT,Utah,201,2942902,39.32098,-111.093731
VA,Virginia,1731,8326289,37.431573,-78.656894
VT,Vermont,54,626562,44.558803,-72.577841
WA,Washington,1530,7061530,47.751074,-120.740139
WI,Wisconsin,291,5757564,43.78444,-88.787868
WV,West Virginia,77,1850326,38.597626,-80.454903
WY,Wyoming,22,584153,43.075968,-107.290284
